original	replacement
blazing speed	Blazing Speed
Let's blaze	Let's Blaze
Monster machine	Monster Machine
, i'	, I'
, i 	, I 
i'	I'
Woohoo!	Woo-hoo!
Yeehaw!	Yee-haw!
...	…
oh 	oh, 
Oh 	Oh, 
yeah 	yeah, 
Yeah 	Yeah, 
huh 	huh, 
Huh 	Huh, 
uh 	uh, 
Uh 	Uh, 
um 	um, 
Um 	Um, 
okay 	okay, 
Okay 	Okay, 
okay	OK
Okay	OK
zeg 	Zeg 
zeg,	Zeg,
zeg.	Zeg.
zeg!	Zeg!
crusher	Crusher
Captain Turbot	Cap'n Turbot
Paw Patrol	PAW Patrol
kiddies	kitties
cafe	café
speedmeister	Speed Meister
Speedmeister	Speed Meister
